Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2021,,Siri Rosso,,,Alte Vigne della Val Camastra,Basilicata,,7,Cabernet sauvignon 50% – Merlot 50%,Soppressata di Calabria,,,86,nd,nd,,,,,13,10,,Acciaio 6 mesi,,,"Rubino compatto e vivido. Fruttato di more di gelso e mirtillo, poi fiori di geranio, infine tracce erbacee di felce, fieno appena tagliato, tartufo e humus. In bocca è morbido, pieno e caldo, controbilanciato da una vena acida che dà slancio al sapore del frutto e all’accennata sapidità.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Siri Bianco,,,Alte Vigne della Val Camastra,Basilicata,,7,Müller Thurgau 70% – Traminer aromatico 30%,Pesce spada gratinato,,,86,nd,nd,,,,,13,10,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Siri Rosé,,,Alte Vigne della Val Camastra,Basilicata,,7,Cabernet sauvignon 100%,Risotto alla parmigiana,,,86,nd,nd,,,,,13,10,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Don Giulio,,,Alte Vigne della Val Camastra,Basilicata,,7,B,,,,89,nd,nd,,,,,13,10,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Siri Rosé,,,Alte Vigne della Val Camastra,Basilicata,,7,B,,,,86,nd,nd,,,,,13,10,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Aglianico    Del Vulture    Superiore    Fiordimarna,,,Basilisco,Basilicata,,24,Aglianico del Vulture 100%,Costata di manzetta con salsa allo zenzero,,,91,nd,nd,,,,,,2,,Acciaio 3 mesi e,,,"Legno 12 mesi Impenetrabile rosso rubino. Naso intenso di sottobosco, ribes rosso e prugna, erbe aromatiche, grafite e spezie dolci. Il gusto è caldo, compatto, con tannini serrati e un’agile freschezza. Finale sapido contraddistinto da una bella persistenza gustativa.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Aglianico Del Vulture Teodosio,,,Basilisco,Basilicata,,24,Aglianico del Vulture 100%,"Il Fiordimarna 2016, aglianico nato su un lembo di marna arenaria in un mare lavico, è una delle bottiglie scaturite da quest’intuizione e conquista l’eccellenza",,,89,nd,nd,,,,,,2,,Acciaio 3 mesi e,,,"Rosso Doc Aglianico del Vulture 100% Alc. 14% | € 9 | Bt. 50.000 | Ferm. Acciaio | Mat. Acciaio 3 mesi e Legno 12 mesi Canestrato pugliese. Nel panorama enologico vulturino l’azienda Basilisco, grazie anche una collocazione privilegiata nel territorio di Barile, da sempre rappresenta un esempio virtuoso nell’interpretazione dell’Aglianico del Vulture, specie nel meticoloso lavoro di zonizzazione voluto da Viviana Malafarina che, da molti anni, ha avviato il progetto “I crus” e che mira esaltare le diverse realizzazioni dell’aglianico in base alle differenze dei suoli.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2012,,Aglianico Del Vulture Superiore Storico,,,Basilisco,Basilicata,,24,,,,,91,nd,nd,,,,,,2,,Acciaio 3 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2012,,Aglianico Del Vulture Superiore Basilisco,,,Basilisco,Basilicata,,24,,,,,89,nd,nd,,,,,,2,,Acciaio 3 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Matera Moro Curaffanni Riserva,,,Battifarano,Basilicata,,13,Cabernet sauvignon 60% – Merlot 20% – Primitivo 20%,,,,91,nd,nd,,,,,13,8,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Toccaculo,,,Battifarano,Basilicata,,13,Selezione di uve a bacca rossa 100%,,,,89,nd,nd,,,,,13,8,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Matera Greco Le Paglie,,,Battifarano,Basilicata,,13,Greco 100%,Maltagliati con fiori di zucca e gamberetti,,,86,nd,nd,,,,,13,8,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Matera Primitivo Akratos,,,Battifarano,Basilicata,,13,Primitivo 100%,,,,86,nd,nd,,,,,13,8,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Toccacielo Rosso,,,Battifarano,Basilicata,,13,Merlot 100%,Cannelloni con radicchio e speck,,,86,nd,nd,,,,,13,8,,   Acciaio    6    mesi    e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Aglianico Del Vulture Superiore Carato Venusio,,,Cantina di Venosa,Basilicata,,25,Aglianico del Vulture 100%,Guanciale di vitello alle erbe aromatiche,,,91,nd,nd,,,,,14,40,,Legno 24 mesi,,,"Rubino fitto e profondo. Esordio dalle molteplici sfaccettature: tonalità balsamiche si fondono con macchia mediterranea; poi mora, mirtillo, ribes nero abbracciano nuance di cioccolato amaro e caffè. In bocca è morbido, con una trama tannica possente e finemente cesellata. Molto durevole negli aromi.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Aglianico Del Vulture Gesualdo,,,Cantina di Venosa,Basilicata,,25,Aglianico del Vulture 100%,Manzo brasato con olive e porri,,,89,nd,nd,,,,,14,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Incomodo,,,Cantina di Venosa,Basilicata,,25,Merlot 100%,Risotto con cannellini e canestrelli,,,89,nd,nd,,,,,14,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Verbo Malvasia,,,Cantina di Venosa,Basilicata,,25,Malvasia bianca di Basilicata 100%,Ravioli di ricotta e spinaci,,,86,nd,nd,,,,,14,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Davalos,,,Cantina di Venosa,Basilicata,,25,Greco 100%,Tortelli di branzino con salsa d'astice,,,86,nd,nd,,,,,14,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Aglianico Del Vulture Verbo,,,Cantina di Venosa,Basilicata,,25,Aglianico del Vulture 100%,Vellutata di zucca spolverata di tartufo nero,,,86,nd,nd,,,,,14,40,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Aglianico Del Vulture Superiore Alberi In Piano,,,Cantina Il Passo,Basilicata,,30,Aglianico del Vulture 100%,Fettuccine al ragù d’agnello,,,89,nd,nd,,,,,14,2,,Legno 24 mesi,,,"Rosso carminio concentrato. Violetta, cassis, mora, mirtillo e amarena aprono il quadro, poi rabarbaro, noce moscata e incenso lo abbelliscono. Al palato è di solida struttura, austero, con un estro rinfrescante e un tannino scalpitante che il tempo saprà domare. Ricordi di rabarbaro in chiusura.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Aglianico Del Vulture Alberi In Piano,,,Cantina Il Passo,Basilicata,,30,Aglianico del Vulture 100%,Spezzatino di manzo,,,86,nd,nd,,,,,14,2,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Aglianico Del Vulture Alberi In Piano,,,Cantina Il Passo,Basilicata,,30,,,,,89,nd,nd,,,,,14,2,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Grottino Di Roccanova L’Essenza,,,Cantine De Biase,Basilicata,,18,Sangiovese 60% – Cabernet 20% – Malvasia nera di Basilicata 10% –,Pappardelle con sugo di lepre,,,86,nd,nd,,,,,14,15,,Acciaio 9 mesi,,,"Rosso rubino. Impronta olfattiva dalle mille sfaccettature, una perfetta fusione tra macchia mediterranea, spezie scure, tabacco e frutti rossi: visciole e ciliegie, poi un soffio di argilla. Pieno e saporito, con un tannino ben legato alla freschezza.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2019,,Grottino Di Roccanova Nettare Dell’Enotria Rosso,,,Cantine De Biase,Basilicata,,18,Sangiovese 60% – Cabernet 20% – Malvasia nera 10% –,Lasagnette con ragù di coniglio e crema di piselli,,,86,nd,nd,,,,,14,15,,Acciaio 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Grottino Di Roccanova Nettare Dell’Enotria Bianco,,,Cantine De Biase,Basilicata,,18,Malvasia bianca di Basilicata 80% – Sauvignon 20%,"Assolutamente interessante la proposta dei rossi con l’Essenza 2019, un blend ricco ed emozionante, che ha stupito fin dal primo sorso",,,82,nd,nd,,,,,14,15,,Acciaio 9 mesi,,,"Pasta, patate e cozze. Con molto piacere diamo il benvenuto per l’esordio in Vitae alla famiglia De Biase, che cura la produzione vinicola biologica e vegan sia di vitigni internazionali come il cabernet che di autoctoni come la malvasia nera e sangiovese. L’azienda dispone di vigneti in una splendida cornice paesaggistica ai piedi del Pollino, che si caratterizza per condizioni pedoclimatiche davvero uniche.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Grottino Di Roccanova L’Essenza,,,Cantine De Biase,Basilicata,,18,,wineryname Cantine De Biase (2009) wineryname,,,86,nd,nd,,,,,14,15,,Acciaio 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Grottino Di Roccanova Nettare Dell’Enotria,,,Cantine De Biase,Basilicata,,18,,,,,82,nd,nd,,,,,14,15,,Acciaio 9 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Aglianico Del Vulture Superiore La Firma,,,Cantine del Notaio,Basilicata,,35,Aglianico del Vulture 100%,Guanciale di manzo in umido con polenta,,,91,nd,nd,,,,,14,25,,Legno 12 mesi,,,"Veste rosso rubino di grande fittezza. L’approccio odoroso è di classe, con rimandi piccoli frutti neri fusi tabacco, pepe, cacao ed essenze mentolate. L’ingresso sontuoso e vigoroso regala un’stringenza abbondante ma ben modellata. Appagante il lunghissimo finale fruttato.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Aglianico Del Vulture Il Sigillo,,,Cantine del Notaio,Basilicata,,35,Aglianico del Vulture 100%,Brasato di lepre con riduzione di vino rosso,,,89,nd,nd,,,,,14,25,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Aglianico Del Vulture Il Repertorio,,,Cantine del Notaio,Basilicata,,35,Aglianico del Vulture 100%,Risotto con salsiccia e Taleggio,,,89,nd,nd,,,,,14,25,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,L’Autentica,,,Cantine del Notaio,Basilicata,,35,Moscato 70% – Malvasia 30%,Gorgonzola naturale,,,89,nd,nd,,,,,14,25,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Il Rogito,,,Cantine del Notaio,Basilicata,,35,Aglianico del Vulture 100%,Parmigiana di melanzane,,,86,nd,nd,,,,,14,25,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,L’Atto,,,Cantine del Notaio,Basilicata,,35,Aglianico del Vulture 100%,Zuppa di stoccafisso e patate,,,86,nd,nd,,,,,14,25,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2014,,Aglianico Del Vulture Superiore La Firma,,,Cantine del Notaio,Basilicata,,35,,,,,91,nd,nd,,,,,14,25,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2013,,Aglianico Del Vulture Il Sigillo,,,Cantine del Notaio,Basilicata,,35,,,,,91,nd,nd,,,,,14,25,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Aglianico Del Vulture Stupor Mundi,,,Carbone Vini,Basilicata,,23,Aglianico del Vulture 100%,Pappardelle al ragù di cinghiale,,,89,nd,nd,,,,,14,6,,Acciaio 18 mesi e,,,"Legno 15 mesi Cremisi con preziose screziature granato. Presenta suggestioni mentolate e di spezie dolci, con percezioni di frutti di gelso nero e ciliegia ferrovia. Rilevanti al sorso sono la morbidezza e la tannicità, con un finale minerale e di liquirizia.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2015,,Aglianico Del Vulture Superiore Stupor Mundi Riserva,,,Carbone Vini,Basilicata,,23,Aglianico del Vulture 100%,Legno 24 mesi Stinco di maiale al forno in pancetta affumicata,,,86,nd,nd,,,,,14,6,,Acciaio 18 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2018,,Aglianico Del Vulture 400 Some,,,Carbone Vini,Basilicata,,23,Aglianico del Vulture 100%,Legno 12 mesi Caciocavallo podolico,,,82,nd,nd,,,,,14,6,,Acciaio 18 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Rosa Carbone,,,Carbone Vini,Basilicata,,23,Aglianico del Vulture 100%,Risotto con piselli e ricotta affumicata,,,82,nd,nd,,,,,14,6,,Acciaio 18 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2015,,Aglianico Del Vulture Stupor Mundi,,,Carbone Vini,Basilicata,,23,,| 2016 | 2017 wineryname Carbone Vini (2005) wineryname,,,89,nd,nd,,,,,14,6,,Acciaio 18 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2015,,Aglianico Del Vulture 400 Some,,,Carbone Vini,Basilicata,,23,,,,,89,nd,nd,,,,,14,6,,Acciaio 18 mesi e,,,,Italy,,,
