Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Notes,Tasting Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2023,2021,,Jera,,,Befehlhof,Alto-adige,,15,Fraueler 100%,Acciaio | 26 mesi sui lieviti Parmigiana di melanzane,,,86,nd,nd,,,,,13,1,,Acciaio 6 mesi,,,"Compattezza giallo sole. Mela e pera sono le protagoniste del discorso odoroso, poi un accenno di agrumi su un prato di erbette aromatiche fresche. Palato asciutto ma avvolgente, buon equilibrio fra alcol e acidità, che s’intrecciano in un sodalizio di giusta durata. Scampi alla griglia. SÄLLENT EXTRA BRUT Bianco Metodo Classico Riesling 100% Alc. 13% | € 23 | Bt. 2.100 | Ferm.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Alto Adige Val Venosta Pinot Bianco,,,Befehlhof,Alto-adige,,15,Pinot bianco 100%,Pizza prosciutto e funghi,,,82,nd,nd,,,,,13,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Zweigelt,,,Befehlhof,Alto-adige,,15,Zweigelt 100%,Risotto con salsiccia e Taleggio,,,82,nd,nd,,,,,13,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Alto Adige Val Venosta Riesling,,,Befehlhof,Alto-adige,,15,Riesling 100%,Canapè di pasta sfoglia al formaggio,,,77,nd,nd,,,,,13,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Pinot Nero,,,Befehlhof,Alto-adige,,15,Pinot nero 100%,Filetto di capriolo ai mirtilli,,,77,nd,nd,,,,,13,1,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2021,,Alto Adige Valle Isarco Kerner,,,Bessererhof,Alto-adige,,14,Kerner 100%,Lumache in umido alle erbette,,,86,nd,nd,,,,,14,12,,Acciaio 7 mesi,,,"Giallo chiaro con filigrana smeraldina. Al naso un ricco cestino di fiori di sambuco, di mela matura, pesca e albicocca, poi tracce di buccia d’arancia e un mazzolino di timo fresco. Ottima la beva che non sazia mai, vino fresco e dal misurato pseudocalore, si congeda lento.",Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Alto Adige Pinot Bianco,,,Bessererhof,Alto-adige,,14,Pinot bianco 100%,Legno 7 mesi Risotto con cannellini e canestrelli,,,82,nd,nd,,,,,14,12,,Acciaio 7 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Roan,,,Bessererhof,Alto-adige,,14,Zweigelt 100%,Tartare di manzo,,,82,nd,nd,,,,,14,12,,Acciaio 7 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2016,,Alto Adige Pinot Bianco Fellis Riserva,,,Bessererhof,Alto-adige,,14,Pinot bianco 100%,Grigliata di carne bianca e verdure,,,82,nd,nd,,,,,14,12,,Acciaio 7 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2020,,Alto Adige Sauvignon,,,Bessererhof,Alto-adige,,14,Sauvignon 100%,Brie de Meaux,,,82,nd,nd,,,,,14,12,,Acciaio 7 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2023,2017,,Alto Adige Chardonnay Fellis Riserva,,,Bessererhof,Alto-adige,,14,Chardonnay 100%,Garganelli con julienne di calamari e ortiche,,,77,nd,nd,,,,,14,12,,Acciaio 7 mesi,,,,Italy,,,
